origin,destination,count
BWI,CRW,4
BWI,DAL,14070
BWI,DRO,1
BWI,DSM,60
BWI,FRA,76
BWI,JAX,8296
BWI,LBB,3
BWI,MDW,28167
BWI,ONT,123
BWI,PBI,3699
BWI,SAN,10486
BWI,SAV,8
BWI,TRI,1
BWI,VPS,1
BWN,BKI,55
BWN,MEL,112
BWN,SGN,16
BWT,KNS,2
BZG,NRN,3
BZN,BOI,2
BZN,EWR,295
BZR,NRN,1
BZV,FIH,83
CAC,GRU,67
CAC,VCP,48
CAE,LAS,1
CAE,TPA,2
CAG,PMF,2
CAG,VRN,12
CAH,SGN,61
CAI,CMN,204
CAI,EBB,31
CAI,HRG,67
CAI,PHX,4
CAK,BOS,1
CAK,MKE,1
CAK,MYR,1
CAK,PGD,3
CAK,SRQ,3
CAN,ADL,17
CAN,BKI,21
CAN,CKG,158
CAN,HEL,19
CAN,HIA,9
CAN,JJN,13
CAN,LJG,2
CAN,PER,175
CAN,SHA,2162
CAN,SHE,130
CAN,TPE,386
CAN,TYN,27
CAY,BEL,21
CBR,PHX,1
CCF,STN,16
CCJ,AUH,67
CCU,AJL,5
CCU,CDG,1
CCU,GOI,4
CCU,GOP,1
CCU,IXB,47
CCU,KMG,38
CCU,KUL,1
CCU,NYC,1
CCU,VTZ,3
CDG,ABZ,1083
CDG,AGP,942
CDG,AJA,19
CDG,AMS,14962
CDG,ATH,2017
CDG,AUH,816
CDG,BGF,167
CDG,CTU,29
CDG,CUN,93
CDG,DOH,831
CDG,HAV,77
CDG,HER,20
CDG,ICN,988
CDG,IND,1
CDG,JFK,31637
CDG,LBA,53
CDG,LHR,26341
CDG,LME,13
CDG,LTN,593
CDG,MBJ,1
CDG,MED,3
CDG,MRS,4140
CDG,NYC,12
CDG,ORN,43
CDG,PEK,1027
CDG,PTY,289
CDG,QJZ,10
CDG,QXG,4
CDG,RBA,1034
CDG,REK,1
CDG,RNS,1899
CDG,SAN,11
CDG,SIN,2206
CDG,SKG,18
CDG,SVX,1
CDG,TGD,19
CDG,TLV,3330
CDG,YVR,564
CDV,VDZ,2
CEB,CEB,2
CEB,RXS,1
CEU,AUS,1
CEZ,PGA,13
CFR,BOD,7
CFR,SEN,7
CFS,SYD,2495
CFU,GVA,4
CFU,TSF,1
CGB,BSB,252
CGB,PVH,44
CGH,GIG,2027
CGH,IOS,89
CGH,NVT,449
CGI,STL,519
CGK,AMQ,7
CGK,BKK,1001
CGK,CGK,1
CGK,DTB,10
CGK,PDG,46
CGK,SOC,70
CGK,SYD,869
CGK,TKG,71
CGN,AKS,1
CGN,ALC,4
CGN,CGN,1
CGN,CGY,1
CGN,CTA,4
CGN,GOA,6
CGN,HDF,1
CGN,LHR,4059
CGN,LON,1
CGN,MIA,22
CGN,MSP,3
CGN,PAD,3
CGN,RLG,2
CGN,SJJ,7
CGN,VIE,1624
CGN,XXX,1
CGO,DLC,5
CGO,HET,9
CGO,HRB,6
CGO,ICN,54
CGO,INC,4
CGO,KMG,3
CGO,XMN,9
CGO,XNN,3
CGP,AUH,1
CGP,BKK,2
CGP,DXB,15
CGQ,ICN,59
CGQ,KHN,2
CGR,GRU,354
CHA,DFW,6786
Charl,MLE,1
CHC,BNE,463
CHC,HLZ,67
CHC,IAH,2
CHC,NSN,343
CHC,ROT,31
CHI,BNA,1
CHI,CAE,1
CHI,CLE,1
CHI,IAH,41
CHI,ICT,1
CHI,MKE,1
CHI,PVR,1
CHI,SAT,1
CHO,IAD,3402
CHO,IAH,1
CHO,PHX,7
CHQ,ATH,1088
CHQ,MUC,3
Chris,PER,1
CHS,LGA,4623
CHS,MEM,2
CHS,ORD,7770
CIA,BOD,2
CIA,BVA,17
CIA,POZ,1
CIA,WRO,2
CID,BHM,2
CID,DEN,8010
CID,FAT,1
CID,ONT,2
CID,PBI,1
CJC,SCL,689
CJJ,LAX,1
CJU,BKK,1
CJU,ICN,19
CKG,CSX,11
CKG,DOH,74
CKG,FOC,6
CKG,HGH,44
CKG,HRB,8
CKG,JJN,1
CKG,WNZ,2
CKI,DRW,3
CKY,GVA,5
CKY,ORY,2
CKZ,ESB,21
CLE,BOS,17907
CLE,CLE,356
CLE,CLT,34033
CLE,DAB,1
CLE,GSP,15
CLE,HNL,1
CLE,IAD,18025
CLE,LGA,32421
CLE,MDW,26954
CLE,MSY,119
CLE,PHX,4244
CLE,PIE,4
CLE,TLS,1
CLJ,BRI,1
CLJ,BUD,2
CLJ,DWC,1
CLO,ADZ,5
CLO,JFK,13
CLO,LGA,1
CLO,MAD,36
CLO,PSO,158
CLT,ANU,23
CLT,BCN,705
CLT,CID,2404
CLT,CRP,2
CLT,CUN,1954
CLT,CVG,37620
CLT,DEN,37631
CLT,DUB,1279
CLT,EBB,1
CLT,FPO,119
CLT,HPN,12479
CLT,ISP,2
CLT,MBJ,1019
CLT,NAS,1325
CLT,PHF,13930
CLT,PVD,24273
CLT,TLH,7537
CLT,VPS,4725
CMB,COS,3
CMB,DEL,185
CMH,ABE,5
CMH,AUS,164
CMH,BHM,5
CMH,BUR,45
CMH,BWI,14137
CMH,FMY,1
CMH,GGG,9
CMH,ORF,9
CMH,PWM,8
CMH,RNO,7
CMI,FWA,1
CMI,PHX,18
CMN,AUH,93
CMN,ERH,12
CMN,EWR,1
CMN,NBO,38
CMN,OXB,26
CMN,OZZ,10
CMN,PER,1
CMN,VLC,31
CMN,YUL,394
CNF,BPS,6
CNF,BRA,4
CNF,CGH,3190
CNF,JFK,1
CNJ,BNE,88
CNS,BNE,7927
CNS,HID,129
CNS,MKY,136
CNS,MNE,1
CNS,SFO,1
CNS,TSV,1865
CNX,ICN,156
CNX,KMG,16
CNX,UBP,3
CNY,DEN,29
COD,RNO,1
COK,BLR,222
COK,CCJ,1
COK,DOH,306
COK,KWI,2
COL,TRE,7
Compa,DXB,4
COO,CMN,41
COR,MDQ,3
COR,NQN,1
COS,ASE,1
COS,ATL,4764
COS,AUS,10
COS,AZA,7
COS,MKE,10
COS,SFO,1
COS,SLC,4338
COU,DFW,4687
COU,LAS,2
COU,LAX,2
COU,ONT,2
CPH,AAR,2127
CPH,BEG,20
CPH,BGY,105
CPH,BOS,2071
CPH,DBV,1
CPH,EDI,536
CPH,FAE,61
CPH,GDN,861
CPH,JFK,980
CPH,KEF,1677
CPH,KLX,1
CPH,LAX,182
CPH,LIS,394
CPH,MUC,4927
CPH,MXP,1215
CPH,POZ,204
CPH,PRG,617
CPH,PSA,11
CPH,TXL,2485
CPH,XWL,3
CPH,ZAG,22
CPR,LHR,1
CPT,AMS,2268
CPT,FRA,232
CPT,MAD,1
CPT,MQP,172
CPT,MUB,10
CPT,NAP,5
CPT,NYC,1
CPT,PHX,7
CPT,SAN,1
CPT,SAO,1
CPT,WAS,5
CRI,NAS,1
CRL,ACE,1
CRL,HER,1
CRL,PUY,2
CRL,SOF,1
CRP,AMA,3
CRP,DAL,403
CRP,SLC,1
CRW,IAH,1647
CSX,CKG,19
CSX,HGH,10
CSX,MXZ,1
CSX,TPE,28
CSX,XMN,32
CTA,BGY,21
CTA,CGN,1
CTA,HAJ,2
CTA,MAD,5
CTA,MXP,144
CTA,ORY,22
CTG,ATL,385
CTG,LIM,9
CTG,NYC,1
CTG,PEI,8
CTS,AXT,1
CTS,SDJ,20
CTS,TOY,1
CTU,DOH,19
CTU,HIJ,2
CTU,HUZ,1
CTU,KRL,2
CTU,LHW,16
CTU,LXA,35
CTU,PEK,1779
CUL,CUU,15
CUN,BDA,1
CUN,CVG,35
CUN,CZM,63
CUN,DSM,1
CUN,MCI,59
CUN,MKE,57
CUN,MSP,1645
CUN,PVR,1
CUN,REX,2
CUN,SJO,8
CUN,TGZ,10
CUN,YWG,10
CUR,CLT,56
CUR,JFK,31
CUR,ORD,3
CUR,SJU,12
CUU,CUU,1
CUZ,BOG,12
CUZ,JUL,39
CVG,BKG,1
CVG,EZE,1
CVG,HBG,2
CVG,MBJ,2
CVG,MCO,9311
CVG,MIA,2849
CVG,ORD,71926
CVG,PIE,26
CVG,PIT,513
CVG,PTK,14
CVG,PVD,2
CVG,SRQ,1
CVG,TYS,2
CVG,VPS,6
CWA,AUS,2
CWA,MSP,8424
CWB,AEP,98
CWB,CGR,4
CWL,ALC,3
CWL,BRS,1
CWL,LON,1
CWL,WAW,1
CXB,DAC,14
CXH,XNA,1
CXR,CAN,32
CZM,ICT,1
CZS,RBR,4
DAB,ATL,24398
DAB,DCA,2
DAB,EWR,1
DAB,OAK,1
DAB,SLC,1
DAC,BOM,529
DAC,CAN,76
DAC,RJH,2
DAD,HPH,6
DAD,PHX,1
DAD,VII,1
DAL,BOG,1
DAL,CHI,3
DAL,DSM,1
DAL,FNT,4
DAL,LHR,1
DAL,MAF,10446
DAL,MSP,392
DAL,MYR,1
DAL,OKC,13365
DAL,ONT,345
DAL,PWM,3
DAL,RNO,82
DAM,LHR,1
DAR,BLZ,1
DAR,DAR,2
DAR,LAX,1
DAR,MCT,12
DAR,PEK,1
DAT,SHE,2
DAY,AUS,2
DAY,CLT,16558
DAY,PIE,4
DAY,SFO,2
DAY,SJC,1
DAY,TPA,19
DBO,BNE,58
DBO,ESS,1
DBV,HAM,1
DBV,PRG,29
DBV,PUY,1
DCA,BNA,19686
DCA,BRU,2
DCA,BUF,5734
DCA,CAE,4638
DCA,CHA,1318
DCA,CMI,1
DCA,HNL,16
DCA,LAN,1424
DCA,NYC,7
DCA,PIE,1
DCA,RIC,9
DCA,YYC,2
DCM,ORY,78
DEB,MUC,44
DEC,STL,29
DEL,CAN,424
DEL,DEN,3
DEL,DMU,1
